ano,entidade,empenhado,liquidado,pago,pago_share
2022,Prefeitura do Município de Londrina,1469648600.54,1370310178.89,1342181093.91,0.46935434318726593
2022,Fundo Municipal de Saúde de Londrina,904352539.8,848419709.75,840634470.62,0.29396587510335026
2022,Fundo de Previdência Social dos Servidores Municipais de Londrina,441685396.56,442553791.18,442465742.7,0.154728165215647
2022,Fundo de Urbanização de Londrina,134023252.93,117938805.88,113067483.91,0.03953916121096348
2022,Câmara Municipal de Londrina,39312176.0,38937415.04,38617771.94,0.01350445112548257
2022,Fundo de Assistência à Saúde dos Servidores Municipais de Londrina,19038748.27,22536258.33,22347732.1,0.007814895597258219
2022,Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF,16906812.33,16582959.58,16591494.1,0.005801966553645312
2022,Fundação de Esportes de Londrina,12676425.04,12508377.86,13429557.88,0.004696252500249742
2022,Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina,13495354.86,12393234.58,12209442.59,0.0042695839879684245
2022,Instituto de Desenvolvimento de Londrina - CODEL,13564356.86,11931795.11,11718287.63,0.004097829435099253
2022,Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL,6022084.4,6275838.71,6280619.98,0.0021963029273003505
2022,Autarquia Municipal de Saúde - AMS,90360.93,90202.18,89143.78,3.1173155769347854e-05
